"","term","Total"
"63095","code a",15
"63096","cody jasper",15
"63097","coffee before",15
"63098","coffee but",15
"63099","coffee date",15
"63100","coffee maker",15
"63101","cold brew",15
"63102","cold rainy",15
"63103","cold stone",15
"63104","colder than",15
"63105","college but",15
"63106","come learn",15
"63107","come sooner",15
"63108","come stay",15
"63109","comin up",15
"63110","coming but",15
"63111","coming weekend",15
"63112","comment was",15
"63113","commercials for",15
"63114","community for",15
"63115","completely sold",15
"63116","compliments of",15
"63117","computers are",15
"63118","concerns me",15
"63119","concert ever",15
"63120","concert the",15
"63121","confidence to",15
"63122","confuse the",15
"63123","confusion and",15
"63124","connect on",15
"63125","conservancy this",15
"63126","consists in",15
"63127","construction of",15
"63128","contest at",15
"63129","contest in",15
"63130","continuing the",15
"63131","conversation we",15
"63132","convicted of",15
"63133","cooking channel",15
"63134","cool can",15
"63135","cool p",15
"63136","cool sounds",15
"63137","cool would",15
"63138","copy my",15
"63139","corner from",15
"63140","corners of",15
"63141","cost per",15
"63142","couch watching",15
"63143","could attend",15
"63144","could cause",15
"63145","could hang",15
"63146","could he",15
"63147","could retweet",15
"63148","could speak",15
"63149","could today",15
"63150","couldnt give",15
"63151","couldnt imagine",15
"63152","couldnt keep",15
"63153","couldnt let",15
"63154","couldnt possibly",15
"63155","coupons and",15
"63156","course to",15
"63157","court of",15
"63158","cousin to",15
"63159","cousins house",15
"63160","cover charge",15
"63161","cover my",15
"63162","cover to",15
"63163","coverage is",15
"63164","covered it",15
"63165","covered with",15
"63166","crack a",15
"63167","cracked up",15
"63168","craig sager",15
"63169","crap its",15
"63170","crap my",15
"63171","crawl back",15
"63172","crazy fun",15
"63173","crazy or",15
"63174","crazy talk",15
"63175","crazy thing",15
"63176","crazy too",15
"63177","cream at",15
"63178","cream soda",15
"63179","creeps me",15
"63180","cried the",15
"63181","cry me",15
"63182","cry my",15
"63183","cry of",15
"63184","cubs and",15
"63185","current events",15
"63186","currently seeking",15
"63187","currently watching",15
"63188","cute guys",15
"63189","cute love",15
"63190","cutest little",15
"63191","cuts and",15
"63192","d are",15
"63193","d at",15
"63194","dad are",15
"63195","dad on",15
"63196","damn phone",15
"63197","damn these",15
"63198","dance all",15
"63199","dance crew",15
"63200","dance dance",15
"63201","data into",15
"63202","date him",15
"63203","daughter has",15
"63204","david and",15
"63205","david guetta",15
"63206","day around",15
"63207","day b",15
"63208","day bring",15
"63209","day coming",15
"63210","day game",15
"63211","day shopping",15
"63212","day tonight",15
"63213","day week",15
"63214","days rt",15
"63215","dead if",15
"63216","dear followers",15
"63217","dear north",15
"63218","dear santa",15
"63219","death on",15
"63220","debate is",15
"63221","debating if",15
"63222","decide who",15
"63223","def jam",15
"63224","definitely been",15
"63225","democrats are",15
"63226","denver i",15
"63227","deny that",15
"63228","deserve you",15
"63229","deserving of",15
"63230","design studio",15
"63231","designing a",15
"63232","despite a",15
"63233","despite all",15
"63234","destination for",15
"63235","determine the",15
"63236","determine what",15
"63237","determined by",15
"63238","determines the",15
"63239","detroit lions",15
"63240","developed by",15
"63241","devoid of",15
"63242","dia de",15
"63243","did exist",15
"63244","did our",15
"63245","did people",15
"63246","did rt",15
"63247","didnt fall",15
"63248","didnt live",15
"63249","didnt the",15
"63250","die happy",15
"63251","died he",15
"63252","different for",15
"63253","dinner or",15
"63254","directions in",15
"63255","director and",15
"63256","dirt road",15
"63257","disc golf",15
"63258","discover new",15
"63259","discuss this",15
"63260","disguised as",15
"63261","dislike you",15
"63262","display at",15
"63263","display in",15
"63264","distance is",15
"63265","distracting me",15
"63266","dj and",15
"63267","dm and",15
"63268","do check",15
"63269","do dinner",15
"63270","do lots",15
"63271","do of",15
"63272","do research",15
"63273","do see",15
"63274","do use",15
"63275","do youre",15
"63276","doc rivers",15
"63277","dodger stadium",15
"63278","does come",15
"63279","does lol",15
"63280","dog shit",15
"63281","dogs for",15
"63282","dogs on",15
"63283","doin my",15
"63284","doing amazing",15
"63285","doing much",15
"63286","doing one",15
"63287","doing over",15
"63288","doing we",15
"63289","dollars casting",15
"63290","dominating the",15
"63291","done d",15
"63292","dont add",15
"63293","dont delete",15
"63294","dont disagree",15
"63295","dont either",15
"63296","dont hide",15
"63297","doodle jump",15
"63298","double feature",15
"63299","douche bags",15
"63300","doug collins",15
"63301","down goes",15
"63302","down inside",15
"63303","down while",15
"63304","downfall of",15
"63305","downtown in",15
"63306","downtown today",15
"63307","drafts and",15
"63308","drama i",15
"63309","dreading the",15
"63310","dream please",15
"63311","dress on",15
"63312","drew bieber",15
"63313","drink all",15
"63314","drink your",15
"63315","drinking some",15
"63316","drinks a",15
"63317","drinks from",15
"63318","drives a",15
"63319","driving all",15
"63320","drop my",15
"63321","drop that",15
"63322","drop this",15
"63323","drop to",15
"63324","drops and",15
"63325","drove a",15
"63326","drunk last",15
"63327","drunk lol",15
"63328","du lac",15
"63329","duck tape",15
"63330","dude said",15
"63331","dunno i",15
"63332","dunno what",15
"63333","dyed my",15
"63334","dying at",15
"63335","dying from",15
"63336","early april",15
"63337","early flight",15
"63338","early we",15
"63339","ears to",15
"63340","ease into",15
"63341","easier on",15
"63342","east county",15
"63343","easter i",15
"63344","easter service",15
"63345","easy dishes",15
"63346","easy its",15
"63347","eat before",15
"63348","eat chicken",15
"63349","eat one",15
"63350","edit a",15
"63351","editor of",15
"63352","effed up",15
"63353","effort into",15
"63354","egg rolls",15
"63355","eggs for",15
"63356","either rt",15
"63357","elected officials",15
"63358","elizabeth taylor",15
"63359","else at",15
"63360","else ever",15
"63361","else watch",15
"63362","em gee",15
"63363","email him",15
"63364","email marketing",15
"63365","email w",15
"63366","encourage your",15
"63367","end or",15
"63368","end your",15
"63369","ends on",15
"63370","ends today",15
"63371","enjoy their",15
"63372","enjoyed seeing",15
"63373","enjoying reading",15
"63374","enrolled in",15
"63375","ensure the",15
"63376","enter for",15
"63377","entered into",15
"63378","entering a",15
"63379","entertaining and",15
"63380","entire team",15
"63381","envious of",15
"63382","episode for",15
"63383","episode tonight",15
"63384","equal pay",15
"63385","era is",15
"63386","error in",15
"63387","especially you",15
"63388","eve at",15
"63389","even eat",15
"63390","even heard",15
"63391","even show",15
"63392","even some",15
"63393","even tired",15
"63394","even work",15
"63395","evening out",15
"63396","ever ask",15
"63397","ever considered",15
"63398","ever loved",15
"63399","ever there",15
"63400","ever they",15
"63401","ever written",15
"63402","every last",15
"63403","every level",15
"63404","everybody can",15
"63405","everybody doing",15
"63406","everybody for",15
"63407","everybody its",15
"63408","everyday lol",15
"63409","everyday of",15
"63410","everyday you",15
"63411","everyone deserves",15
"63412","everyone having",15
"63413","everyone my",15
"63414","everyonehasthatfriend who",15
"63415","everything not",15
"63416","everything seems",15
"63417","everything up",15
"63418","exactly are",15
"63419","exam i",15
"63420","exam today",15
"63421","excellent work",15
"63422","except you",15
"63423","excited ive",15
"63424","excited my",15
"63425","exercise for",15
"63426","exist to",15
"63427","expanding the",15
"63428","experience on",15
"63429","experiences of",15
"63430","experiencing a",15
"63431","experimenting with",15
"63432","explain that",15
"63433","explained to",15
"63434","expo and",15
"63435","extend the",15
"63436","extra money",15
"63437","extremely well",15
"63438","eye open",15
"63439","eyes hurt",15
"63440","eyes is",15
"63441","f word",15
"63442","fa real",15
"63443","face looks",15
"63444","facebook if",15
"63445","facebook with",15
"63446","facing a",15
"63447","fair but",15
"63448","fair game",15
"63449","fall at",15
"63450","fall over",15
"63451","fam its",15
"63452","family life",15
"63453","family tonight",15
"63454","family was",15
"63455","family with",15
"63456","fan account",15
"63457","fan from",15
"63458","fan here",15
"63459","fans come",15
"63460","fans follow",15
"63461","fans how",15
"63462","fans should",15
"63463","fans take",15
"63464","far all",15
"63465","far has",15
"63466","far not",15
"63467","fast in",15
"63468","fast to",15
"63469","fat bitches",15
"63470","fat girls",15
"63471","fat tire",15
"63472","father in",15
"63473","favorite artists",15
"63474","favorite books",15
"63475","favorite memory",15
"63476","favorite summer",15
"63477","favorite to",15
"63478","fb so",15
"63479","fb wall",15
"63480","fd up",15
"63481","fear factor",15
"63482","fear no",15
"63483","fear to",15
"63484","featured artist",15
"63485","features that",15
"63486","fed ex",15
"63487","feed of",15
"63488","feedback is",15
"63489","feel dumb",15
"63490","feel happy",15
"63491","feel kinda",15
"63492","feel left",15
"63493","feet i",15
"63494","felt in",15
"63495","females in",15
"63496","festival to",15
"63497","few blocks",15
"63498","few hrs",15
"63499","few songs",15
"63500","few that",15
"63501","ff a",15
"63502","ff followfriday",15
"63503","ff rt",15
"63504","ff shoutout",15
"63505","field house",15
"63506","fight was",15
"63507","fights with",15
"63508","files for",15
"63509","film this",15
"63510","films and",15
"63511","finally and",15
"63512","finally catching",15
"63513","finally feel",15
"63514","finally has",15
"63515","finally joined",15
"63516","finally started",15
"63517","financial services",15
"63518","find all",15
"63519","finds the",15
"63520","fine if",15
"63521","finish what",15
"63522","finished writing",15
"63523","finished your",15
"63524","firm foundation",15
"63525","first chapter",15
"63526","first pick",15
"63527","first read",15
"63528","fix for",15
"63529","fix tonight",15
"63530","flat on",15
"63531","flat screen",15
"63532","flew in",15
"63533","floating around",15
"63534","floating in",15
"63535","florida in",15
"63536","floyd is",15
"63537","fly on",15
"63538","fly you",15
"63539","fog is",15
"63540","folks for",15
"63541","folks just",15
"63542","follow enjoy",15
"63543","follow glad",15
"63544","follow ppl",15
"63545","follow tweet",15
"63546","follower will",15
"63547","followers like",15
"63548","followers love",15
"63549","followers or",15
"63550","followers tell",15
"63551","followers till",15
"63552","followers too",15
"63553","followers were",15
"63554","following along",15
"63555","following better",15
"63556","followmecody for",15
"63557","fond du",15
"63558","food a",15
"63559","foot and",15
"63560","football draft",15
"63561","football fans",15
"63562","football for",15
"63563","for ala",15
"63564","for approval",15
"63565","for baby",15
"63566","for becoming",15
"63567","for blood",15
"63568","for businesses",15
"63569","for clearing",15
"63570","for content",15
"63571","for crazy",15
"63572","for cutting",15
"63573","for derby",15
"63574","for dr",15
"63575","for dropping",15
"63576","for em",15
"63577","for exercise",15
"63578","for feedback",15
"63579","for heads",15
"63580","for hire",15
"63581","for hunger",15
"63582","for interviews",15
"63583","for luck",15
"63584","for meetings",15
"63585","for middle",15
"63586","for mo",15
"63587","for newt",15
"63588","for ohio",15
"63589","for paying",15
"63590","for photoshoot",15
"63591","for planning",15
"63592","for private",15
"63593","for promoting",15
"63594","for radio",15
"63595","for rd",15
"63596","for recording",15
"63597","for regular",15
"63598","for replying",15
"63599","for sd",15
"63600","for sleeping",15
"63601","for starters",15
"63602","for texting",15
"63603","for w",15
"63604","for yoga",15
"63605","force to",15
"63606","forever the",15
"63607","forget those",15
"63608","former nfl",15
"63609","forward in",15
"63610","forward it",15
"63611","founded in",15
"63612","free as",15
"63613","free bag",15
"63614","free before",15
"63615","free dance",15
"63616","free product",15
"63617","free ticket",15
